;tw;iv;lv;rv;dm;zm;lm;rm;om;hs;ms;ls;rs
tw;0;0;0;0;0.25;0.5;0.25;0.25;0.75;0.75;1;0.75;0.75
iv;0;0;0;0;0.25;0.5;0.25;0.25;0.75;0.75;1;0.75;0.75
lv;0;0;0;0;0.25;0.25;0.25;0.5;0.5;0.5;0.75;0.5;1
rv;0;0;0;0;0.25;0.25;0.5;0.25;0.5;0.5;0.75;1;0.5
dm;0.25;0.25;0.25;0.25;0.25;0.75;0.5;0.5;1;1;0.75;0.5;0.5
zm;0.5;0.5;0.25;0.25;0.75;1;0.5;0.5;0.75;0.75;0.75;0.5;0.5
lm;0.25;0.25;0.25;0.5;0.5;0.5;0.5;1;0.75;0.5;0.5;0.25;0.5
rm;0.25;0.25;0.5;0.25;0.5;0.5;1;0.5;0.75;0.5;0.5;0.5;0.25
om;0.75;0.75;0.5;0.5;1;0.75;0.75;0.75;0.25;0.25;0;0;0
hs;0.75;0.75;0.5;0.5;1;0.75;0.5;0.5;0.25;0.25;0;0;0
ms;1;1;0.75;0.75;0.75;0.75;0.5;0.5;0;0;0;0;0
ls;0.75;0.75;0.5;1;0.5;0.5;0.25;0.5;0;0;0;0;0
rs;0.75;0.75;1;0.5;0.5;0.5;0.5;0.25;0;0;0;0;0
